#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-22.226877,1,0.973671
-6.045005,1,0.975151
-17.136002,1,0.975942
-2.582635,1,0.976677
-28.330663,1,0.977529
-17.830479,1,0.978251
-33.144395,1,0.978967
-12.740214,1,0.979708
-16.770892,1,0.980525
-8.063385,1,0.981387
-3.506628,1,0.982141
-28.808271,1,0.982868
-25.465992,1,0.983603
-23.053108,1,0.984313
-20.359637,1,0.985106
-13.509746,1,0.985897
-24.419596,1,0.986619
-8.232018,1,0.987368
-20.941584,1,0.988208
-31.154294,1,0.988925
-28.749206,1,0.989635
-30.317786,1,0.990349
-4.358474,1,0.991117
-27.542541,1,0.991828
-25.7188,1,0.992631
-3.939508,1,0.993387
100.0,1,0.994114
-6.202772,1,0.994874
-13.749832,1,0.995587
-13.740335,1,0.996288
-18.268465,1,0.997001
-28.215081,1,0.997723
-8.759974,1,0.998501
-27.116347,1,0.999211
-19.350879,1,1.00027
-17.100341,1,1.000984
-29.907194,1,1.001699
-3.787148,1,1.002485
-14.35657,1,1.003189
-16.136371,1,1.0039
-26.77492,1,1.004895
-26.273822,1,1.005611
-19.449764,1,1.006479
-23.434269,1,1.007195
-22.235734,1,1.007908
-23.315411,1,1.008622
-25.836102,1,1.00933
-19.086493,1,1.010034
-27.477631,1,1.010742
-23.602296,1,1.011458
-12.258135,1,1.012253
-11.741894,1,1.013062
-8.237432,1,1.013896
-6.987034,1,1.014694
-28.786891,1,1.015408
100.0,1,1.016269
-23.83793,1,1.016992
-4.633604,1,1.017761
-13.093218,1,1.018469
-18.926942,1,1.019379
-29.486196,1,1.020093
-15.029434,1,1.020807
-19.285109,1,1.021515
100.0,1,1.022269
-26.526996,1,1.022995
-9.856242,1,1.023707
-30.299193,1,1.024414
-15.183171,1,1.025129
-14.595709,1,1.025842
-4.452119,1,1.026627
-31.850117,1,1.027331
100.0,1,1.028104
-3.495099,1,1.028894
-21.085087,1,1.029601
-4.230715,1,1.030329
-12.459559,1,1.03113
-18.127407,1,1.032156
-11.018171,1,1.032997
-19.596458,1,1.033708
-10.540778,1,1.034507
-22.05089,1,1.03521
-21.571562,1,1.035915
-20.122938,1,1.03662
-18.118895,1,1.037321
-4.851524,1,1.038069
-16.705816,1,1.038961
-33.20716,1,1.039671
100.0,1,1.040366
-24.017738,1,1.041208
-32.579125,1,1.041918
-31.112593,1,1.042625
-23.347809,1,1.043327
100.0,1,1.044022
-4.157691,1,1.044746
-18.54425,1,1.045468
-17.558183,1,1.046197
-29.539138,1,1.046934
-18.75829,1,1.047647
-13.63183,1,1.048554
-19.505091,1,1.049258
-27.193569,1,1.050109
-27.330041,1,1.050817
-23.230454,1,1.051524
-24.544216,1,1.052242
-21.580003,1,1.052952
-19.01593,1,1.053668
-26.437046,1,1.054369
-33.453946,1,1.055083
-14.079488,1,1.055797
-2.789228,1,1.056553
-28.66495,1,1.057259
-22.3272,1,1.058065
-16.732598,1,1.058773
-34.102755,1,1.059478
-19.322528,1,1.060192
-26.805356,1,1.06092
-23.746158,1,1.061636
-13.409864,1,1.062448
-14.115633,1,1.063156
-19.857022,1,1.063861
-6.233409,1,1.064657
-32.132054,1,1.065361
-17.931074,1,1.066065
-18.456814,1,1.066785
-33.391418,1,1.067486
-17.128316,1,1.068256
100.0,1,1.069065
-27.593415,1,1.06978
-15.474959,1,1.070829
-30.597911,1,1.071543
-3.686968,1,1.072299
-20.533682,1,1.073004
-12.39373,1,1.073718
-31.537944,1,1.074596
-25.761451,1,1.075307
-21.279597,1,1.076135
-23.297619,1,1.076846
-29.01316,1,1.077783
-7.173486,1,1.078523
-2.506586,1,1.079352
-6.868315,1,1.080184
-3.422901,1,1.080965
-33.005319,1,1.081674
100.0,1,1.08239
-33.710832,1,1.083128
-12.802493,1,1.083966
-23.424263,1,1.084677
-19.30749,1,1.085548
-20.013292,1,1.08626
-25.50594,1,1.086975
-22.2564,1,1.087687
-29.015399,1,1.088388
-13.621014,1,1.089112
-13.926531,1,1.089824
-21.999149,1,1.090651
-24.771096,1,1.091351
-9.427754,1,1.092144
-23.633967,1,1.092853
-27.208226,1,1.093588
-16.637491,1,1.094291
-24.782712,1,1.094996
-29.453533,1,1.095704
-11.465995,1,1.096415
-14.014476,1,1.097185
-12.965791,1,1.097898
-21.912943,1,1.098605
-21.633513,1,1.099308
-24.620412,1,1.100011
-32.272884,1,1.100719
-21.2607,1,1.101422
-11.364583,1,1.102205
-27.16222,1,1.102923
-7.199187,1,1.103686
-4.457358,1,1.10456
-33.621635,1,1.10526
-16.382285,1,1.106008
-5.144112,1,1.106819
-19.064626,1,1.107868
-14.55967,1,1.108583
-21.232569,1,1.109292
-26.721955,1,1.110007
-29.129924,1,1.110736
-11.233654,1,1.11156
-24.350077,1,1.112263
-15.21557,1,1.112972
-32.603954,1,1.113693
-24.838693,1,1.114399
100.0,1,1.115198
-16.522791,1,1.115958
-7.232516,1,1.116727
-29.342481,1,1.11743
-22.380108,1,1.118137
-26.12215,1,1.118854
-31.271701,1,1.119569
-24.768088,1,1.120275
-8.363752,1,1.121056
-28.126276,1,1.121764
-24.715557,1,1.122468
-19.303162,1,1.123188
-2.829857,1,1.123952
-22.55222,1,1.124662
-17.357889,1,1.12537
-27.729971,1,1.126075
-31.014533,1,1.126789
-23.883775,1,1.127491
